name,ranking,score
肖申克的救赎,1,9.6
霸王别姬,2,9.5
这个杀手不太冷,3,9.4
阿甘正传,4,9.4
美丽人生,5,9.5
泰坦尼克号,6,9.3
千与千寻,7,9.3
辛德勒的名单,8,9.4
盗梦空间,9,9.3
机器人总动员,10,9.3
三傻大闹宝莱坞,11,9.2
海上钢琴师,12,9.2
忠犬八公的故事,13,9.2
放牛班的春天,14,9.2
大话西游之大圣娶亲,15,9.2
楚门的世界,16,9.1
龙猫,17,9.1
教父,18,9.2
星际穿越,19,9.2
熔炉,20,9.2
触不可及,21,9.2
乱世佳人,22,9.2
无间道,23,9.1
当幸福来敲门,24,8.9
怦然心动,25,8.9
天堂电影院,26,9.1
十二怒汉,27,9.4
少年派的奇幻漂流,28,9.0
蝙蝠侠：黑暗骑士,29,9.1
鬼子来了,30,9.2
搏击俱乐部,31,9.0
活着,32,9.1
指环王3：王者无敌,33,9.1
疯狂动物城,34,9.1
天空之城,35,9.0
大话西游之月光宝盒,36,8.9
罗马假日,37,8.9
飞屋环游记,38,8.9
控方证人,39,9.6
窃听风暴,40,9.1
两杆大烟枪,41,9.1
飞越疯人院,42,9.0
闻香识女人,43,8.9
哈尔的移动城堡,44,8.9
辩护人,45,9.1
海豚湾,46,9.3
V字仇杀队,47,8.8
死亡诗社,48,9.0
教父2,49,9.1
美丽心灵,50,8.9
指环王2：双塔奇兵,51,9.0
指环王1：魔戒再现,52,8.9
饮食男女,53,9.1
情书,54,8.8
摔跤吧！爸爸,55,9.1
美国往事,56,9.1
狮子王,57,8.9
钢琴家,58,9.0
素媛,59,9.1
天使爱美丽,60,8.7
小鞋子,61,9.2
七宗罪,62,8.7
被嫌弃的松子的一生,63,8.9
致命魔术,64,8.8
本杰明·巴顿奇事,65,8.8
音乐之声,66,8.9
勇敢的心,67,8.8
西西里的美丽传说,68,8.8
剪刀手爱德华,69,8.7
低俗小说,70,8.8
黑客帝国,71,8.8
拯救大兵瑞恩,72,8.9
沉默的羔羊,73,8.7
看不见的客人,74,8.7
让子弹飞,75,8.7
蝴蝶效应,76,8.7
入殓师,77,8.8
春光乍泄,78,8.8
大闹天宫,79,9.3
玛丽和马克思,80,8.9
